time,spd_kp_0.27_ki_0.0043_pwma,spd_kp_0.291_ki_0.00290_pwma,spd_kp_0.27_ki_0.0043_pwmb,spd_kp_0.291_ki_0.00290_pwmb,spd_kp_0.27_ki_0.0043_pitch,spd_kp_0.291_ki_0.00290_pitch,spd_kp_0.27_ki_0.0043_motor_a_speed,spd_kp_0.291_ki_0.00290_motor_a_speed,spd_kp_0.27_ki_0.0043_motor_b_speed,spd_kp_0.291_ki_0.00290_motor_b_speed,spd_kp_0.27_ki_0.0043_target_angle,spd_kp_0.291_ki_0.00290_target_angle,spd_kp_0.27_ki_0.0043_angle_error,spd_kp_0.291_ki_0.00290_angle_error
1.305,800,800,800,800,-2.75997202797203,-23.3507332531467,50,50,60,58.0271728271724,9.97015384615385,11.637010989011,12.7301258741259,34.9877442421577
1.31,800,800,800,800,-2.73992406075141,-24.1415817338127,50,50,60,60,10.08,11.42,12.8199240607514,35.5615817338127
1.315,800,800,800,800,-2.55007593924859,-25.0589580409589,50,50,60,59.976423576424,10.08,11.4242437562437,12.6300759392486,36.4832017972026
1.32,800,800,800,800,-2.54001398601398,-25.8224065924072,51.9972027972034,50,60,58,10.1898461538462,11.78,12.7298601398602,37.6024065924072
1.325,800,800,800,800,-2.45021578421577,-26.9681248937059,52,50.0195804195795,60,58,10.19,11.7778461538463,12.6402157842158,38.7459710475522
1.33,800,800,800,800,-2.50979620379621,-27.796946046154,50.0067932067931,52,60,58,10.5587432567433,11.56,13.0685394605395,39.356946046154
1.335,800,800,800,800,-2.37061538461535,-28.5874026051948,50,51.9844155844155,60,58,10.56,11.5628051948052,12.9306153846153,40.1502078
1.34,800,800,800,800,-2.44956843156845,-29.537949051948,50,50,61.9892107892111,58,10.4108091908092,11.92,12.8603776223776,41.457949051948
1.345,800,800,800,800,-2.45993606393606,-30.7050998953045,50,50.011588411588,62,58.011588411588,10.41,11.9187252747253,12.8699360639361,42.6238251700298
1.35,800,800,800,800,-2.53940859140862,-31.5852747252744,51.9852147852154,52,62,60,10.7772647352648,11.7,13.3166733266735,43.2852747252744
1.355,800,800,800,800,-2.42100699300697,-32.6830755471619,52,51.9924060751408,62,59.9924060751408,10.78,11.7024680255792,13.201006993007,44.3855435727412
1.36,800,800,800,800,-2.56862110311755,-33.4940779120874,50.0183852917661,50,62,58,11.1565067945645,12.35,13.725127897682,45.8440779120874
1.365,800,800,800,800,-2.57,-34.8526953086907,50,50.0039960039951,62,58.003996003995,11.16,12.3490009990012,13.73,47.2016963076919
1.37,800,800,800,800,-2.53982017982015,-36.2010099890111,50,52,62,60,11.01,11.85,13.5498201798202,48.0510099890111
1.375,800,800,800,800,-2.36,-37.209999,50,52,62,60,11.01,11.85,13.37,49.059999
1.38,800,800,800,800,-2.36999000999001,-38.2089999990009,51.9980019980025,52,62,56.0039960039964,11.1198901098901,12.4993506493506,13.4898801198802,50.7083506483515
1.385,800,800,800,800,-2.26021978021977,-39.5573036933064,52,52,62,56,11.12,12.5,13.3802197802198,52.0573036933064
1.39,800,800,800,800,-2.31982017982018,-40.5769450539457,50.005994005994,50.0059940059947,62,59.9880119880107,11.4988611388611,11.9915284715286,13.8186813186813,52.5684735254744
1.395,800,800,800,800,-2.29011988011987,-41.7254046033969,50,50,62,60,11.5,11.99,13.7901198801199,53.7154046033969
1.4,800,800,800,800,-2.2999520383693,-42.9195824195803,50,52,62,58,11.3507194244604,12.35,13.6506714628297,55.2695824195803
1.405,800,800,800,800,-2.19063736263734,-43.9198840993004,50,52,62,58.0371628371623,11.35,12.3514865134865,13.5406373626373,56.2713706127869
1.41,800,800,800,800,-2.28932067932069,-44.9891658351644,50,52,62,60,11.4592527472528,12.43,13.7485734265734,57.4191658351644
1.415,800,800,800,800,-2.15109090909091,-46.0862027650353,50,51.9668331668328,62,59.9336663336656,11.46,12.4359700299701,13.6110909090909,58.5221727950054
1.42,800,800,800,800,-2.15,-47.6616613376624,51.982417582418,50,62,56,11.569032967033,12.79,13.719032967033,60.4516613376624
1.425,800,800,800,800,-2.1400979020979,-49.0423966315684,52,50.0291708291707,62,56.0583416583415,11.57,12.7783316683317,13.7100979020979,61.8207282999001
1.43,800,800,800,800,-2.24981818181817,-49.8846203806193,50,52,62,60,11.96,11.99,14.2098181818182,61.8746203806193
1.435,800,800,800,800,-2.12003197442046,-50.2164757949641,50,52,62,59.9748201438855,11.9599360511591,12.0018345323738,14.0799680255795,62.2183103273379
1.44,800,800,800,800,-2.19996802557954,-49.9292717272729,50,52,62,58,11.8000639488409,12.93,14.0000319744205,62.8592717272729
1.445,800,800,800,800,-2.22995804195805,-49.0195334871132,50,52.0215784215778,62,58.0215784215778,11.8,12.9277342657343,14.0299580419581,61.9472677528475
1.45,800,800,800,800,-2.31978421578423,-48.0516793020983,50,54,62,60,11.9097362637363,12.72,14.2295204795205,60.7716793020983
1.455,800,800,800,800,-2.23030569430569,-47.2049001164834,50,53.9824175824173,62,60,11.91,12.7257142857144,14.1403056943057,59.9306144021978
1.46,800,800,800,800,-2.24991208791209,-46.6232996935065,50,52,62,60,12.0294725274726,13.37,14.2793846153847,59.9932996935065
1.465,800,800,800,800,-2.21021578421578,-45.7625954045955,50,52,62,60,12.03,13.3685734265734,14.2402157842158,59.1311688311689
1.47,800,800,800,800,-2.3491048951049,-44.6788991124875,50,52,62,60,12.1392967032967,13.16,14.4884015984016,57.8388991124876
1.475,800,800,800,800,-2.24081318681315,-44.4964275744252,50,52,62,60,12.14,13.1603356643356,14.3808131868132,57.6567632387608
1.48,800,800,800,800,-2.34907692307694,-45.8344824004791,50,52,62,60,12.2490769230769,13.23,14.5981538461539,59.0644824004791
1.485,800,800,800,800,-2.27073541167064,-47.0115564445553,50,52,62,60.0059940059933,12.25,13.2302397602397,14.5207354116706,60.241796204795
1.49,800,800,800,800,-2.42836963036965,-47.5304585384614,51.9796203796206,52,62,62,12.3588791208791,13.31,14.7872487512488,60.8404585384614
1.495,800,800,800,800,-2.37007992007993,-47.7597882107892,52,52,62,61.9980019980017,12.3603796203797,13.3103596403597,14.7304595404596,61.0701478511489
1.5,800,800,800,800,-2.45,-47.549999,52,52,62,60,12.74,13.67,15.19,61.219999
1.505,800,800,800,800,-2.39005994005993,-47.1304205784216,52,52,62,60,12.74,13.67,15.1300599400599,60.8004205784216
1.51,800,800,800,800,-2.51974025974028,-46.3216183836166,50.0039960039958,52,62,61.9960039960035,12.8597602397603,13.4604195804196,15.3795004995005,59.7820379640362
1.515,800,800,800,800,-2.51002997002997,-45.9710499480521,50,52,62,62,12.86,13.46,15.37002997003,59.4310499480521
1.52,800,800,800,800,-2.61956043956047,-45.8205994045954,50,50.0079920079915,60.0079920079915,60.0079920079915,12.7006393606393,13.8285214785216,15.3201998001998,59.6491208831169
1.525,800,800,800,800,-2.6299520383693,-45.8945024965034,50,50.0391608391604,60,60.0391608391605,12.7,13.8200139860141,15.3299520383693,59.7145164825175
1.53,800,800,800,800,-2.73936263736266,-46.1190699476524,50,52,61.988411588412,62,12.5508691308691,13.32,15.2902317682318,59.4390699476524
1.535,800,800,800,800,-2.77972827172827,-46.0654285890111,50,51.964835164836,62,61.964835164836,12.55,13.3316043956041,15.3297282717283,59.3970329846152
