I0,pitch,pitch_target,pwma,speed_b,speed_target,flag,e,ec,ec_raw
49.582001,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.587002,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.591999,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.597000,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.602001,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.606998,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.612000,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.617001,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.622002,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.626999,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.632000,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.637001,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.641998,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.646999,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.652000,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.657001,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.661999,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.667000,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.672001,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.676998,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.681999,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
