I0,I1,I2,I3,I4,I5,I6,I7,I8,I9
727.872009,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.877014,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.882019,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.887024,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.892029,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.940000,0.000000,0.000000
727.896973,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.940000,0.000000,0.000000
727.901978,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.906982,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.911987,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.940000,0.000000,0.000000
727.916992,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.921997,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.927002,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.932007,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.937012,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.942017,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.947021,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.952026,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.956970,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.961975,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.966980,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.971985,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.976990,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.981995,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.987000,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.992004,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.997009,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.002014,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.007019,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.012024,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.017029,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.021973,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.026978,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.031982,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.036987,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.041992,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.046997,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.052002,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.057007,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.062012,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.067017,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.072021,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.077026,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.081970,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.086975,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.091980,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.096985,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.101990,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.106995,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.112000,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.117004,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.122009,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.127014,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.132019,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.137024,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.142029,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.146973,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.151978,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.156982,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.161987,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.166992,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.171997,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.177002,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.182007,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.187012,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.192017,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
728.197021,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
